NombrePueblo,DiaSemana,Fecha,Maxima,Minima,Media,Humedad,Presion,Viento
colmenar viejo,Hoy,6 may,24,9,16.5,50%,1016hPa,19 km/h
colmenar viejo,Mañana,7 may,25,10,17.5,53%,1017hPa,15 km/h
colmenar viejo,Sábado,8 may,27,12,19.5,47%,1013hPa,27 km/h
colmenar viejo,Domingo,9 may,19,10,14.5,53%,1007hPa,31 km/h
colmenar viejo,Lunes,10 may,15,6,10.5,56%,1015hPa,23 km/h
colmenar viejo,Martes,11 may,11,4,7.5,59%,1017hPa,30 km/h
colmenar viejo,Miércoles,12 may,16,3,9.5,57%,1021hPa,16 km/h
