NombrePueblo,DiaSemana,Fecha,Maxima,Minima,Media,Humedad,Presion,Viento
tres cantos,Hoy,9 abr,14,8,11.0,69%,1018hPa,9 km/h
tres cantos,Mañana,10 abr,17,7,12.0,76%,1013hPa,21 km/h
tres cantos,Domingo,11 abr,16,9,12.5,79%,1011hPa,20 km/h
tres cantos,Lunes,12 abr,15,6,10.5,51%,1020hPa,21 km/h
tres cantos,Martes,13 abr,14,2,8.0,33%,1026hPa,20 km/h
tres cantos,Miércoles,14 abr,19,5,12.0,56%,1018hPa,14 km/h
tres cantos,Jueves,15 abr,13,9,11.0,71%,1015hPa,10 km/h
