idMunicipio,Nombre,Fecha,tMaxima,tMinima,tMedia,Humedad,Presion,Viento
tres cantos,Hoy,25 may,24,10,17.0,48,1022,17 
tres cantos,Mañana,26 may,24,12,18.0,56,1018,11 
tres cantos,Jueves,27 may,29,13,21.0,49,1015,10 
tres cantos,Viernes,28 may,28,17,22.5,45,1016,12 
tres cantos,Sábado,29 may,29,16,22.5,44,1016,13 
tres cantos,Domingo,30 may,29,16,22.5,46,1015,26 
tres cantos,Lunes,31 may,31,17,24.0,47,1014,15 
